,ACHADO,TIPO_ACHADO
20444,"Falta de glosa, em prestação de contas do Convênio 769262/2012, de despesas não comprovadas.",Ausência ou inadequação das prestações de contas do convênio
9805,Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
5583,Projeto básico/executivo deficiente ou inexistente - Deficiência do projeto executivo ou projeto executivo desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
8814,Inclusão de parcela referente ao IRPJ e CSLL na composição do BDI ou na planilha de custo direto.,Falha na composição dos custos expressos na planilha orçamentária
21893,"Cópia 1 de ""Inobservância dos requisitos legais e técnicos de acessibilidade de pessoas com deficiência ou com mobilidade reduzida.""","Projeto inexistente, deficiente ou desatualizado"
13626,Inobservância dos requisitos legais e técnicos de acessibilidade de pessoas portadoras de deficiência ou com mobilidade reduzida.,"Projeto inexistente, deficiente ou desatualizado"
7511,Liquidação irregular da despesa.,Liquidação e/ou pagamento irregular da despesa
15596,Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
22610,A.7.1 Não utilização do objeto na finalidade do convênio.,Irregularidades na execução do convênio
8587,Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
23336,Descumprimento parcial de cláusulas contratuais,Outras irregularidades na execução do contrato
10794,Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
19384,Falha formal em edital relativa a Exigência de comprovação de quadro permanente sem permitir contrato de prestação	de serviços (Itens 3.4.9 e 3.4.10 do relatório de acompanhamento),Restrição à competitividade do certame
12299,Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
7787,Obra licitada sem Licença Prévia.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
10541,"Desvio de objeto devido a alterações qualitativas (mudanças de projeto e de técnicas construtivas, modificações relevantes de materiais - tipo e qualidade).","Aditivos irregulares, injustificados ou não celebrados"
8493,Superfaturamento decorrente de quantitativo inadequado.,Superfaturamento
6108,Projeto básico/executivo deficiente ou inexistente - Deficiência do projeto básico ou projeto básico desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
14191,Ausência de  informações no Siconv.,"Ausência e/ou deficiência de publicidade, de transparência e de registros no SICONV"
19135,"Utilização dos recursos destinados aos projetos audiovisuais em desacordo com os propósitos da Lei de Incentivo à Cultura, da Lei do Audiovisual e da Política Nacional do Cinema.",Irregularidades na fase de proposição
16480,Liquidação irregular da despesa.,Liquidação e/ou pagamento irregular da despesa
6924,Fiscalização ou supervisão deficiente ou omissa.,Fiscalização contratual inexistente ou deficiente
6580,Deficiência na apresentação das informações constantes da planilha orçamentária do Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
18744,Saídas de medicamentos sem comprovação de destino (Barcarena). ,Gestão temerária
8216,Superfaturamento decorrente de pagamento por serviço não executado.,Superfaturamento
14986,Licitação realizada sem contemplar os requisitos mínimos exigidos pela Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
5634,Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
9006,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
8829,Os desembolsos dos recursos referentes ao convênio ocorreram desconforme previsto no Plano de Trabalho correspondente.,Irregularidades na execução do convênio
16551,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
14400,Adiantamento de pagamentos.,Liquidação e/ou pagamento irregular da despesa
6973,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
8206,Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
19951,055/2015 - Possibilidade de restrição indevida de competição,Restrição à competitividade do certame
9687,Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
8798,Descumprimento dos procedimentos para alteração de Contratos de Repasse ou Termo de Execução na fase de execução dos empreendimentos.,Irregularidades na formalização do convênio
6686,Fiscalização deficiente da execução do convênio.,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
17682,Licitação realizada sem contemplar os requisitos mínimos exigidos pela Lei 8.666/93.,Irregularidades na condução do procedimento licitatório
16818,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
16118,Critério de julgamento inadequado em licitação regida pelo RDC,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
17933,"Desvio de objeto devido a alterações qualitativas (mudanças de projeto e de técnicas construtivas, modificações relevantes de materiais - tipo e qualidade).","Aditivos irregulares, injustificados ou não celebrados"
7106,Alteração injustificada de quantitativos.,"Aditivos irregulares, injustificados ou não celebrados"
8583,Quantitativos inadequados na planilha orçamentária.,"Projeto inexistente, deficiente ou desatualizado"
7789,Superfaturamento decorrente de quantitativo inadequado.,Superfaturamento
12561,Ausência de verificação da regularidade de licitante/contratada mediante consulta ao Sicaf,Liquidação e/ou pagamento irregular da despesa
8432,Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
18600,Alteração injustificada de quantitativos.,"Aditivos irregulares, injustificados ou não celebrados"
14054,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
15285,Quantitativos inadequados na planilha orçamentária.,"Projeto inexistente, deficiente ou desatualizado"
14629,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
10696,Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
14172,Falta de retenção da garantia prevista na Lei 8.666/93.,Garantia contratual inexistente
21811,"Ausência de registros das alterações de projeto realizadas durante a execução das obras, assim como da concomitante impulsão tempestiva do correspondente aditivo contratual","Aditivos irregulares, injustificados ou não celebrados"
8444,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
17199,Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
21337,Inexistente ou insatisfatória fiscalização de convênios.,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
20424,"IBICARAÍ - Pagamentos aos profissionais da educação básica a título de remuneração/abono com recursos dos precatórios do Fundef""",Liquidação e/ou pagamento irregular da despesa
15077,Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
10879,Sobrepreço decorrente de inexistência de BDI diferenciado para fornecimento de insumos.,Sobrepreço
10086,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
5942,Ausência de cadastramento de contrato ou convênio no SIASG - Contrato não cadastrado no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
22821,Intempestividade na apresentação das prestações de contas parciais,Ausência ou inadequação das prestações de contas do convênio
19865,"Sobrepreço no item orçamentário pavimentação em paralelepípedo, presente nos planos de trabalho aprovados pelos Concedentes e nos correspondentes contratos celebrados com vistas à execução dos objetos de todas as transferências voluntárias auditadas (item de maior materialidade), o qual foi decorrente da adoção do Sinapi com preço de insumo superior ao do mercado local/regional CONTINUAÇÃO 1.",Falha na composição dos custos expressos na planilha orçamentária
15210,Critério de reajuste inexistente ou inadequado.,Cláusulas essenciais imprecisas ou ausentes
9552,Superfaturamento decorrente de preços excessivos frente ao mercado.,Superfaturamento
23343,Planejamento deficiente na escolha da solução técnica para o armazenamento de CNU a partir do esgotamento da capacidade das PCUs das Usinas de Angra 1 e 2,Ausência de estudos capazes de comprovar a viabilidade do projeto
19591,"1, 2, 3, 4, 5 e 6 - Se os entes federados já estão em condição de cumprir o disposto do art. 45 da LRF.",Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
17491,"Inadequação no recebimento, estocagem ou guarda de equipamentos e materiais.",Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
13338,Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
23196,Utilização de métodos construtivos incompatíveis com as especificações técnicas dos serviços contratados,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
7111,Descrição do PT presente no Edital / Contrato incompatível com aquela constante nas leis orçamentárias.,Dotação orçamentária incompatível com a execução do objeto
7160,Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
5863,Previsão no edital/contrato de critério de medição incompatível com o objeto real pretendido.,Cláusulas essenciais imprecisas ou ausentes
21597,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
5899,Execução orçamentária irregular - Objeto licitado incompatível com o PT utilizado.,Dotação orçamentária incompatível com a execução do objeto
16442,O valor do convênio não cobre as despesas relativas à obra licitada ou é superior às despesas efetivas relacionadas à obra licitada.,Irregularidades na fase de proposição
16778,Edital não contempla os requisitos mínimos exigidos pela legislação do Regime Diferenciado de Contratação,Irregularidades na elaboração do ato convocatório
19436,"Atraso injustificado no início da elaboração do projeto executivo e da execução das obras civis, ambas as atividades previstas no Contrato CTNI 92.2011.0510.00, firmado com o Consórcio Acaraú (INCOMISA, Multiempreendimentos e PROCABLE)",Descumprimento do cronograma físico-financeiro do objeto
23339,Negociação para ressarcimento indevido de compensações adicionais pleiteadas pela empreiteira,"Aditivos irregulares, injustificados ou não celebrados"
11177,Falhas relativas à publicidade do edital de licitação.,Irregularidades na condução do procedimento licitatório
22727,Alteração do objeto licitado/contratado em desrespeito ao disposto na Lei Geral de Licitações,"Aditivos irregulares, injustificados ou não celebrados"
12287,O orçamento não é acompanhado das composições de todos os custos unitários de seus serviços no Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
13580,Sobrepreço decorrente de preços excessivos frente ao mercado.,Sobrepreço
18268,Sobrepreço decorrente de itens considerados em duplicidade.,Sobrepreço
20658,324/2016 - Estimativa inadequada de preços,Irregularidades na elaboração do ato convocatório
9791,Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
5246,Impropriedades no processo licitatório - Cláusulas contratuais em desacordo com os preceitos da Lei 8.666/93.,Cláusulas essenciais imprecisas ou ausentes
21227,Impropriedades na execução do convênio,Irregularidades na execução do convênio
7096,Superfaturamento decorrente de preços excessivos frente ao mercado.,Superfaturamento
