ACHADO,TIPO_ACHADO
"Inobservância dos limites mínimos de gastos em saúde e educação, e máximo, com pessoal; não alimentação dos sistemas de informação sobre gastos com saúde eeducação",Irregularidades na fase de proposição
Acréscimos ou supressões em percentual superior ao legalmente permitido.,"Aditivos irregulares, injustificados ou não celebrados"
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Achado A.15. Contrato C1/03/004: Alteração contratual sem identificação de data. ACHADO CONSIDERADO INSUBSISTENTE EM VISTA DOS COMENTÁRIOS DO GESTOR.,Outras irregularidades na execução do contrato
Objeto licitado incompatível com o PT utilizado.,Dotação orçamentária incompatível com a execução do objeto
Obra executada sem alvará de construção.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
"Inexistência de métodos de fiscalização contratual capazes de garantir integridade, confiabilidade e disponibilidade das informações produzidas.",Fiscalização contratual inexistente ou deficiente
O valor do convênio não cobre as despesas relativas à obra licitada ou é superior às despesas efetivas relacionadas à obra licitada.,Irregularidades na fase de proposição
Ausência ou inadequação das pesquisas de preços que fundamentam o orçamento estimativo dos procedimentos licitatórios ou de dispensa realizados pela entidade,Irregularidades na condução do procedimento licitatório
Ocupação irregular de cargos comissionados,Gestão temerária
III-1. - Estudos e projetos deficientes,"Projeto inexistente, deficiente ou desatualizado"
Inclusão de parcela referente ao IRPJ e CSLL na composição do BDI ou na planilha de custo direto.,Falha na composição dos custos expressos na planilha orçamentária
Superfaturamento decorrente de pagamento por serviço não executado.,Superfaturamento
Descumprimento de determinação exarada pelo TCU.,Descumprimento de determinação do TCU
Sobrepreço decorrente de quantitativo inadequado.,Sobrepreço
Subcontratação irregular. (III.4),Subcontratação ou subrrogação irregular
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
"Obra em andamento, embora incluída no quadro-bloqueio da LOA deste ano.",Gestão temerária
Deficiência na apresentação das informações constantes da planilha orçamentária do Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Critério de medição inadequado ou incompatível com o objeto real pretendido.,Cláusulas essenciais imprecisas ou ausentes
Orçamento do Edital / Contrato / Aditivo incompleto ou inadequado.,Falha na composição dos custos expressos na planilha orçamentária
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Alteração injustificada de quantitativos.,"Aditivos irregulares, injustificados ou não celebrados"
Fragilidade ou deficiência na fase preparatória de licitação do RDC,Irregularidades na condução do procedimento licitatório
Inclusão de parcela referente ao IRPJ e CSLL na composição do BDI ou na planilha de custo direto.,Falha na composição dos custos expressos na planilha orçamentária
Subcontratação irregular.,Subcontratação ou subrrogação irregular
Ausência de cadastramento de contrato no SIASG.,"Ausência de formalização, publicidade e/ou transparência do contrato"
"Desvio de objeto devido a alterações qualitativas (mudanças de projeto e de técnicas construtivas, modificações relevantes de materiais - tipo e qualidade).","Aditivos irregulares, injustificados ou não celebrados"
Itens instalação/manutenção de canteiros e mobilização/desmobilização não se encontram detalhados no custo direto da obra.,Falha na composição dos custos expressos na planilha orçamentária
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
"Inobservância das normas legais, regulamentares e contratuais relativas à responsabilidade das empresas projetistas, supervisoras e construtoras pela qualidade das obras, em especial quanto à reparação de defeitos ou à devolução de valores pagos.",Outras irregularidades na execução do contrato
