ACHADO,TIPO_ACHADO
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Fiscalização deficiente da execução do convênio.,Deficiência ou ausência do acompanhamento e fiscalização pelo órgão concedente
"Não comprovação da regularidade fiscal e das qualificações técnicas, econômica e financeira de empresa pré-contratada.",Contratação direta indevida ou não justificada
Superfaturamento decorrente de pagamento por serviço não executado.,Superfaturamento
Superfaturamento decorrente de reajustamento irregular.,Superfaturamento
"BELMONTE - A.1.1 - Alunos da educação infantil e do ensino fundamental, residentes na zona rural, não atendidos pelo transporte escolar.",Outras irregularidades na execução do contrato
Projeto básico/executivo sub ou superdimensionado.,"Projeto inexistente, deficiente ou desatualizado"
Quantitativos inadequados na planilha orçamentária.,"Projeto inexistente, deficiente ou desatualizado"
Superfaturamento decorrente de preços excessivos frente ao mercado.,Superfaturamento
Fiscalização deficiente ou omissa.,Descumprimento do cronograma físico-financeiro do objeto
O Plano de Trabalho apresentado pelo Convenente não contém todos os requisitos exigidos pelo art. 2º da Instrução Normativa STN nº 1.,Irregularidades na fase de proposição
Indícios de conluio entre licitantes.,Direcionamento da licitação ou licitação montada
"Inobservância das normas legais, regulamentares e contratuais relativas à responsabilidade das empresas projetistas, supervisoras e construtoras pela qualidade das obras, em especial quanto à reparação de defeitos ou à devolução de valores pagos.",Outras irregularidades na execução do contrato
Inadequação ou inexistência dos critérios de aceitabilidade de preços unitário e global.,Irregularidades na elaboração do ato convocatório
Projeto básico/executivo deficiente ou inexistente - Deficiência do projeto básico ou projeto básico desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Julgamento ou classificação das propostas em desacordo com os critérios do edital ou da legislação.,Julgamento em desconformidade com o edital e com a legislação (habilitação e propostas)
Sobrepreço decorrente de itens considerados em duplicidade.,Sobrepreço
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Pagamento de BDI em valores acima da referência definida pelo Tribunal para itens de mero fornecimento de equipamentos.,Metodologia inadequada para definição do orçamento do objeto
Licitação de obras sem previsão orçamentária ou com previsão insuficiente ou ilimitada.,Dotação orçamentária incompatível com a execução do objeto
040/2013 - Critérios de habilitação insuficientes.,Irregularidades na habilitação e qualificação da licitante
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
A.11.1 - Veículos terrestres não adequados ao transporte escolar ou sem condições gerais de trafegabilidade.,Outras irregularidades na execução do contrato
Execução de serviços com qualidade deficiente.,Objeto entregue com qualidade deficiente ou em desacordo com o licitado e com a legislação
Deficiência na apresentação das informações constantes da planilha orçamentária do Edital / Contrato / Aditivo.,Falha na composição dos custos expressos na planilha orçamentária
Adoção de regime de execução contratual inadequado ou antieconômico,"Adoção de tipo, regime ou modalidade de licitação indevidos"
Existência de atrasos injustificáveis nas obras e serviços.,Descumprimento do cronograma físico-financeiro do objeto
Projeto executivo deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Aquisição de equipamento foto repetidor por meio de inexigibilidade de licitação com justificativa de preço insuficiente.,Contratação direta indevida ou não justificada
Subcontratação irregular.,Subcontratação ou subrrogação irregular
Controle deficiente do número de refeições servidas e o número de alunos efetivamente atendidos pelo programa exercido nas Escolas Estaduais do Paraná.,Outras irregularidades na execução do contrato
Objeto do convênio/edital/contrato sem funcionalidade própria.,Inviabilidade do projeto
Projeto básico deficiente ou desatualizado.,"Projeto inexistente, deficiente ou desatualizado"
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Restrição à competitividade da licitação decorrente de critérios inadequados de habilitação e julgamento.,Restrição à competitividade do certame
Cláusulas contratuais em desacordo com os preceitos da Lei 8.666/93.,Cláusulas essenciais imprecisas ou ausentes
Inexecução total do objeto - Mãe do Rio/PA,Irregularidades na execução do convênio
Implantação do empreendimento sem obtenção de todas as licenças e autorizações emitidas pelos órgãos competentes.,"Ausência de licenças e autorizações necessárias à licitação, contratação, execução da obra ou funcionamento do empreendimento"
Quantitativos inadequados na planilha orçamentária.,"Projeto inexistente, deficiente ou desatualizado"
Estudo de viabilidade técnica e econômico-financeira deficiente.,Ausência de estudos capazes de comprovar a viabilidade do projeto
